season_year,team_id,team_abbreviation,team_name,gp,w,l,min,passes_made,passes_received,ast,ft_ast,secondary_ast,potential_ast,ast_points_created,ast_adj,ast_to_pass_pct,ast_to_pass_pct_adj
2015-16,1610612751,BKN,Brooklyn Nets,82,21,61,240.9,291.7,291.7,22.3,2.3,2.9,46.7,53.7,27.3,0.076,0.094
2015-16,1610612766,CHA,Charlotte Hornets,82,48,34,242.1,296.5,296.4,21.7,2.6,3,47.3,57.2,27.2,0.073,0.092
2015-16,1610612741,CHI,Chicago Bulls,82,42,40,242.7,307.7,307.7,22.8,2.2,3.3,46.3,56.5,28.2,0.074,0.092
2015-16,1610612739,CLE,Cleveland Cavaliers,82,57,25,242.1,296.1,296.1,22.7,2.4,3.7,44.4,58.6,28.6,0.077,0.097
2015-16,1610612742,DAL,Dallas Mavericks,82,42,40,244,330,330,22.1,2.5,2.9,48,56.7,27.4,0.067,0.083
2015-16,1610612743,DEN,Denver Nuggets,82,33,49,241.8,290.2,290.2,22.7,2.7,2.6,46.8,56.2,27.9,0.078,0.096
2015-16,1610612765,DET,Detroit Pistons,82,44,38,242.4,263.3,263.3,19.4,2.6,2.4,41.7,49.8,24.4,0.074,0.093
2015-16,1610612744,GSW,Golden State Warriors,82,73,9,242.4,323.5,323.5,28.9,3,4.1,54.2,72.9,35.7,0.089,0.11
2015-16,1610612745,HOU,Houston Rockets,82,41,41,241.8,287.3,287.3,22.2,2.7,2.6,46.4,56.9,27.5,0.077,0.096
2015-16,1610612754,IND,Indiana Pacers,82,45,37,242.4,303.8,303.8,21.2,2.9,2.7,48,53.8,26.9,0.07,0.088
2015-16,1610612746,LAC,LA Clippers,82,53,29,241.8,287.6,287.6,22.8,2.6,2.8,45.8,56.9,28.1,0.079,0.098
2015-16,1610612747,LAL,Los Angeles Lakers,82,17,65,240.6,274,274,18,2.2,1.7,38.7,45.5,21.7,0.066,0.079
2015-16,1610612763,MEM,Memphis Grizzlies,82,42,40,241.8,306.4,306.4,20.7,2.4,2.8,43.9,50.5,25.8,0.068,0.084
2015-16,1610612748,MIA,Miami Heat,82,48,34,241.8,297.9,297.9,20.8,2.3,2.6,43.2,51.3,25.8,0.07,0.086
2015-16,1610612749,MIL,Milwaukee Bucks,82,33,49,241.8,289.4,289.4,23.1,2.8,3,44.8,55.3,28.7,0.08,0.099
2015-16,1610612750,MIN,Minnesota Timberwolves,82,29,53,242.4,281.4,281.4,23.4,3,2.8,47.3,56.8,29.1,0.083,0.103
2015-16,1610612740,NOP,New Orleans Pelicans,82,30,52,241.2,292.5,292.5,22.2,2.6,2.2,43.1,55.5,26.9,0.076,0.092
2015-16,1610612752,NYK,New York Knicks,82,32,50,241.5,341.6,341.6,20.5,2.5,2.8,46.8,51.5,25.6,0.06,0.075
2015-16,1610612760,OKC,Oklahoma City Thunder,82,55,27,241.8,256.6,256.6,23,2.7,2,46.9,56.4,27.5,0.089,0.107
2015-16,1610612753,ORL,Orlando Magic,81,35,46,242.5,305.7,305.7,23.5,1.9,2.5,49.1,57,27.8,0.077,0.091
2015-16,1610612755,PHI,Philadelphia 76ers,82,10,72,241.5,329.3,329.3,21.5,2.6,2.1,47,55.2,26.1,0.065,0.079
2015-16,1610612756,PHX,Phoenix Suns,82,23,59,240.3,310.4,310.4,20.7,2.4,2.7,47.3,52.4,25.5,0.067,0.082
2015-16,1610612757,POR,Portland Trail Blazers,82,44,38,241.5,281.8,281.8,21.3,2.7,2.5,45.3,54.7,26.4,0.076,0.094
2015-16,1610612758,SAC,Sacramento Kings,81,33,48,241.5,283.3,283.3,24.5,2.8,2.7,50.3,60.4,29.9,0.087,0.105
2015-16,1610612759,SAS,San Antonio Spurs,82,67,15,240.3,328.6,328.6,24.5,2,3.9,46,58.9,30.2,0.075,0.092
2015-16,1610612761,TOR,Toronto Raptors,81,55,26,240.9,303.4,303.4,18.7,2,2.2,38.9,48.1,22.8,0.062,0.075
2015-16,1610612762,UTA,Utah Jazz,82,40,42,243.4,352.3,352.3,19,2.7,2.4,44.3,48.9,24,0.054,0.068
2015-16,1610612764,WAS,Washington Wizards,82,41,41,240.9,294.7,294.7,24.5,2.8,2.8,50.1,61.1,29.9,0.083,0.102
2014-15,1610612737,ATL,Atlanta Hawks,82,60,22,240.6,324.3,324.3,25.7,2.2,3.9,50.8,64.6,31.7,0.079,0.098
2014-15,1610612738,BOS,Boston Celtics,82,40,42,242.4,304.9,304.8,24.5,2.6,2.7,51.3,60,29.6,0.08,0.097
2014-15,1610612751,BKN,Brooklyn Nets,82,38,44,243.1,273,273,20.9,2.7,2.5,44.9,52.1,26.1,0.077,0.096
2014-15,1610612766,CHA,Charlotte Hornets,82,33,49,242.7,301.5,301.4,20.2,2.3,3.5,42.4,48.7,25.7,0.067,0.085
2014-15,1610612741,CHI,Chicago Bulls,82,50,32,242.4,304,304,21.7,2.8,3.2,46.1,54.7,27.6,0.071,0.091
2014-15,1610612739,CLE,Cleveland Cavaliers,81,53,28,241.2,289.4,289.3,22.2,2.4,3.2,42.8,56.3,27.7,0.077,0.096
2014-15,1610612742,DAL,Dallas Mavericks,82,50,32,242.4,307.3,307.3,22.5,2.6,3,47.1,57,28.1,0.073,0.091
2014-15,1610612743,DEN,Denver Nuggets,82,30,52,242.4,264.1,264.1,21.8,3,2.6,48.7,55,27.3,0.083,0.103
2014-15,1610612765,DET,Detroit Pistons,82,32,50,241.8,272.3,272.3,21.6,2.4,2.6,44.7,54,26.6,0.079,0.098
2014-15,1610612744,GSW,Golden State Warriors,82,67,15,240.6,306.6,306.6,27.4,2.8,3.4,50.4,67.4,33.1,0.089,0.108
2014-15,1610612745,HOU,Houston Rockets,81,55,26,241.5,299.1,299,22.2,2.5,3,47.9,56.7,27.5,0.074,0.092
2014-15,1610612754,IND,Indiana Pacers,82,38,44,242.1,311.1,311.1,21.4,2,3.6,48.1,52.6,26.9,0.069,0.087
2014-15,1610612746,LAC,Los Angeles Clippers,82,56,26,240.6,294,294,24.8,2.5,4.1,48.2,61.6,31.3,0.084,0.106
2014-15,1610612747,LAL,Los Angeles Lakers,82,21,61,243.1,270.3,270.3,20.9,2.3,1.9,43.5,49.8,24.9,0.077,0.092
2014-15,1610612763,MEM,Memphis Grizzlies,82,55,27,242.7,309,309,21.7,2.8,3.4,46.2,52.3,27.7,0.07,0.09
2014-15,1610612748,MIA,Miami Heat,81,36,45,240.6,304,304,19.7,2.6,2.6,44.1,49.5,24.8,0.065,0.082
2014-15,1610612749,MIL,Milwaukee Bucks,81,40,41,243.1,287.4,287.4,23.6,2.7,3.4,48.1,57.1,29.5,0.082,0.103
2014-15,1610612750,MIN,Minnesota Timberwolves,81,16,65,241.5,277.7,277.6,21.6,2.9,2.4,46.7,52.2,26.8,0.078,0.097
2014-15,1610612740,NOP,New Orleans Pelicans,82,45,37,241.2,270.7,270.7,22,2.8,1.9,43.9,54.9,26.7,0.081,0.099
2014-15,1610612752,NYK,New York Knicks,81,17,64,242.2,362.4,362.4,21.3,2,2.8,47.9,51.7,26,0.059,0.072
2014-15,1610612760,OKC,Oklahoma City Thunder,82,45,37,241.8,271,271,20.5,2,1.9,43,50.2,24.2,0.076,0.089
2014-15,1610612753,ORL,Orlando Magic,82,25,57,240.9,279,279,20.6,1.8,2.5,43,50,24.8,0.074,0.089
2014-15,1610612755,PHI,Philadelphia 76ers,82,18,64,241.5,326.4,326.4,20.5,2.6,2.1,46.9,52.3,25.1,0.063,0.077
2014-15,1610612756,PHX,Phoenix Suns,82,39,43,242.4,288.6,288.6,20.2,1.8,2,43.8,50,23.9,0.07,0.083
2014-15,1610612757,POR,Portland Trail Blazers,82,51,31,242.1,287.6,287.6,21.9,1.8,3.2,47.2,54.6,26.8,0.076,0.093
2014-15,1610612758,SAC,Sacramento Kings,82,29,53,242.1,284,284,20.3,3,1.9,42.1,50,25.1,0.072,0.089
2014-15,1610612759,SAS,San Antonio Spurs,82,55,27,243.4,342.4,342.4,24.4,2.6,4.2,47.7,61.1,31.1,0.071,0.091
2014-15,1610612761,TOR,Toronto Raptors,82,49,33,242.1,275.1,275.1,20.7,2.3,2.6,40.3,52.3,25.5,0.075,0.093
2014-15,1610612762,UTA,Utah Jazz,82,38,44,240.3,364.1,364.1,19.9,3.2,2.7,46.3,51.1,25.7,0.055,0.071
2014-15,1610612764,WAS,Washington Wizards,82,46,36,243.4,299.5,299.5,24,2.7,2.7,48,57.7,29.3,0.08,0.098
2013-14,1610612737,ATL,Atlanta Hawks,81,38,43,241.9,320.2,320.2,24.9,2.6,3.1,50.5,62.1,30.3,0.078,0.095
2013-14,1610612738,BOS,Boston Celtics,82,25,57,240.6,297.9,297.9,21,2.2,2.4,45.6,51.6,25.6,0.071,0.086
2013-14,1610612751,BKN,Brooklyn Nets,81,43,38,242.5,292.6,292.6,20.7,2.6,2.6,44.1,53.1,25.7,0.071,0.088
2013-14,1610612766,CHA,Charlotte Bobcats,81,42,39,242.8,322,322,21.8,2.7,3.1,45.6,53.1,27.3,0.068,0.085
2013-14,1610612741,CHI,Chicago Bulls,82,48,34,243.1,317.8,317.7,22.7,3,3.2,50.3,55.4,28.7,0.071,0.09
2013-14,1610612739,CLE,Cleveland Cavaliers,82,33,49,243.1,296.9,296.9,21.2,2.5,2.3,43.6,52.1,25.9,0.071,0.087
2013-14,1610612742,DAL,Dallas Mavericks,82,49,33,241.8,309.6,309.6,23.6,2.3,3.6,48.3,58.4,29.4,0.076,0.095
2013-14,1610612743,DEN,Denver Nuggets,82,36,46,240.9,262.4,262.4,22.4,3,2.6,48.3,56.3,27.9,0.085,0.106
2013-14,1610612765,DET,Detroit Pistons,82,29,53,241.2,259.1,259.1,20.9,2.9,2.3,43.8,50.6,26,0.081,0.1
2013-14,1610612744,GSW,Golden State Warriors,81,50,31,241.9,243.8,243.7,23.3,2.4,2.8,44.7,57.1,28.3,0.096,0.116
