season_year,team_id,team_abbreviation,team_name,gp,w,l,min,stl,blk,dreb,def_rim_fgm,def_rim_fga,def_rim_fg_pct
2019-20,1610612758,SAC,Sacramento Kings,71,31,40,242.5,7.8,4,32.8,17.6,26.5,0.665
2019-20,1610612759,SAS,San Antonio Spurs,70,31,39,242.1,7.3,5.4,35.4,17.5,27.8,0.628
2019-20,1610612761,TOR,Toronto Raptors,71,52,19,241.4,8.8,5,35.9,15,25.4,0.589
2019-20,1610612762,UTA,Utah Jazz,72,44,28,241,6.1,4.1,35.8,16.4,26.4,0.621
2019-20,1610612764,WAS,Washington Wizards,72,25,47,241,8,4.3,31.9,19,29.1,0.653
2018-19,1610612737,ATL,Atlanta Hawks,82,29,53,242.1,8.2,5.1,34.5,16.6,25.4,0.654
2018-19,1610612738,BOS,Boston Celtics,82,49,33,241.2,8.6,5.3,34.7,15.7,24.5,0.638
2018-19,1610612751,BKN,Brooklyn Nets,82,42,40,243.7,6.6,4.1,35.6,15.8,25.5,0.62
2018-19,1610612766,CHA,Charlotte Hornets,82,39,43,241.8,7.2,4.9,33.9,17.3,26.2,0.662
2018-19,1610612741,CHI,Chicago Bulls,81,22,59,242.8,7.3,4.3,34.2,16.8,25.5,0.657
2018-19,1610612739,CLE,Cleveland Cavaliers,82,19,63,240.9,6.5,2.4,31.9,17.8,25.7,0.694
2018-19,1610612742,DAL,Dallas Mavericks,82,33,49,241.2,6.5,4.3,35.2,16.2,24.6,0.659
2018-19,1610612743,DEN,Denver Nuggets,82,54,28,240.6,7.7,4.4,34.5,16.4,25.5,0.643
2018-19,1610612765,DET,Detroit Pistons,82,41,41,242.1,6.9,4,33.6,16.6,25.3,0.656
2018-19,1610612744,GSW,Golden State Warriors,82,57,25,241.5,7.6,6.4,36.5,15.7,24.8,0.633
2018-19,1610612745,HOU,Houston Rockets,82,53,29,241.8,8.5,4.9,31.9,17.4,26.3,0.663
2018-19,1610612754,IND,Indiana Pacers,82,48,34,240.3,8.7,4.9,33.7,15.9,25.2,0.632
2018-19,1610612746,LAC,LA Clippers,82,48,34,241.8,6.8,4.7,35.8,17.4,26.9,0.647
2018-19,1610612747,LAL,Los Angeles Lakers,82,37,45,241.2,7.5,5.4,36.4,17.2,27.6,0.623
2018-19,1610612763,MEM,Memphis Grizzlies,82,33,49,242.4,8.3,5.5,33,14.8,23.5,0.629
2018-19,1610612748,MIA,Miami Heat,82,39,43,240.6,7.6,5.5,35.1,13.7,22.7,0.601
2018-19,1610612749,MIL,Milwaukee Bucks,82,60,22,241.2,7.5,5.9,40.4,12.5,21.1,0.592
2018-19,1610612750,MIN,Minnesota Timberwolves,82,36,46,241.8,8.3,5,33.5,17.4,26.9,0.646
2018-19,1610612740,NOP,New Orleans Pelicans,82,33,49,240.9,7.4,5.4,36.2,17.7,27,0.656
2018-19,1610612752,NYK,New York Knicks,81,17,64,241.2,6.8,5.2,34.3,17.3,26.9,0.644
2018-19,1610612760,OKC,Oklahoma City Thunder,81,48,33,242.2,9.3,5.2,35.5,16.7,26.6,0.629
2018-19,1610612753,ORL,Orlando Magic,80,40,40,241.3,6.6,5.4,35.3,15.4,24.4,0.63
2018-19,1610612755,PHI,Philadelphia 76ers,81,51,30,241.5,7.4,5.2,36.9,16.9,27.2,0.62
2018-19,1610612756,PHX,Phoenix Suns,82,19,63,242.4,9,5.1,31.3,18.7,28.6,0.656
2018-19,1610612757,POR,Portland Trail Blazers,82,53,29,242.1,6.7,5,36.2,15.4,24.1,0.639
2018-19,1610612758,SAC,Sacramento Kings,82,39,43,240.6,8.3,4.4,34.4,18,26.9,0.669
2018-19,1610612759,SAS,San Antonio Spurs,82,48,34,241.5,6.1,4.7,35.5,14.4,22,0.654
2018-19,1610612761,TOR,Toronto Raptors,82,58,24,242.4,8.3,5.3,35.6,15.4,24.6,0.628
2018-19,1610612762,UTA,Utah Jazz,81,50,31,240.9,8,5.9,36.4,15,24.9,0.601
2018-19,1610612764,WAS,Washington Wizards,81,31,50,243.1,8.3,4.7,32.6,19.2,29,0.663
2017-18,1610612737,ATL,Atlanta Hawks,81,24,57,240.3,7.8,4.3,32.9,15.5,23.9,0.648
2017-18,1610612738,BOS,Boston Celtics,79,52,27,241.6,7.3,4.6,35.1,15.3,23.7,0.646
2017-18,1610612751,BKN,Brooklyn Nets,80,27,53,242.2,6.3,4.8,34.7,15.4,25,0.615
2017-18,1610612766,CHA,Charlotte Hornets,82,36,46,241.2,6.8,4.5,35.4,14.7,22.2,0.665
2017-18,1610612741,CHI,Chicago Bulls,82,27,55,242.1,7.6,3.5,35,16.3,24.5,0.666
2017-18,1610612739,CLE,Cleveland Cavaliers,82,50,32,240.6,7.1,3.8,33.7,17.2,25.7,0.668
2017-18,1610612742,DAL,Dallas Mavericks,82,24,58,241.5,7,3.8,33.1,14.4,21.4,0.673
2017-18,1610612743,DEN,Denver Nuggets,82,46,36,242.4,7.6,4.9,33.5,16.6,25.6,0.647
2017-18,1610612765,DET,Detroit Pistons,82,39,43,241.5,7.7,3.9,33.6,15.1,23.3,0.648
2017-18,1610612744,GSW,Golden State Warriors,82,58,24,240.6,8,7.5,35.1,16.9,27.1,0.624
2017-18,1610612745,HOU,Houston Rockets,82,65,17,240.9,8.5,4.8,34.5,17.5,26.4,0.663
2017-18,1610612754,IND,Indiana Pacers,82,48,34,240.9,8.8,4.1,32.7,16,24.1,0.663
2017-18,1610612746,LAC,LA Clippers,82,42,40,240.3,7.7,4.5,33.7,16,24.4,0.656
2017-18,1610612747,LAL,Los Angeles Lakers,82,35,47,242.7,7.7,4.7,35.7,17.3,26.7,0.647
2017-18,1610612763,MEM,Memphis Grizzlies,82,22,60,240.3,7.5,4.8,31,15.6,23.2,0.673
2017-18,1610612748,MIA,Miami Heat,81,43,38,243.1,7.6,5.3,34.1,15.3,24.2,0.632
2017-18,1610612749,MIL,Milwaukee Bucks,81,44,37,241.9,8.8,5.4,31.4,17.4,27.5,0.635
2017-18,1610612750,MIN,Minnesota Timberwolves,82,47,35,241.5,8.4,4.2,31.6,17.2,25.5,0.675
2017-18,1610612740,NOP,New Orleans Pelicans,82,48,34,243.4,8,5.9,35.6,17,26.4,0.643
2017-18,1610612752,NYK,New York Knicks,81,28,53,241.9,6.7,5.2,33.6,15.3,24.3,0.629
2017-18,1610612760,OKC,Oklahoma City Thunder,80,48,32,241.9,9.1,5,32.6,16,24.5,0.654
2017-18,1610612753,ORL,Orlando Magic,82,25,57,240.6,7.6,4.9,32.8,17.4,27,0.643
2017-18,1610612755,PHI,Philadelphia 76ers,81,52,29,241.2,8.3,5.1,36.6,14.6,23.9,0.609
2017-18,1610612756,PHX,Phoenix Suns,82,21,61,240.3,6.9,4.5,33.9,17,26.4,0.642
2017-18,1610612757,POR,Portland Trail Blazers,82,49,33,240.9,7,5.2,35.3,13.5,22.9,0.588
2017-18,1610612758,SAC,Sacramento Kings,82,27,55,240.9,7.8,4.1,31.4,15.6,23.7,0.659
2017-18,1610612759,SAS,San Antonio Spurs,82,47,35,240.6,7.7,5.6,33.9,14.9,24,0.619
2017-18,1610612761,TOR,Toronto Raptors,82,59,23,241.8,7.6,6.1,34.2,15.7,26,0.605
2017-18,1610612762,UTA,Utah Jazz,82,48,34,240.9,8.6,5.1,34.2,14.2,23,0.618
2017-18,1610612764,WAS,Washington Wizards,82,43,39,242.1,7.9,4.3,33.1,16.8,25.3,0.666
2016-17,1610612737,ATL,Atlanta Hawks,82,43,39,242.4,8.2,4.8,34.1,12.8,21.1,0.608
2016-17,1610612738,BOS,Boston Celtics,82,53,29,240.9,7.5,4.1,32.9,14.3,23,0.622
2016-17,1610612751,BKN,Brooklyn Nets,81,20,61,240.9,7.2,4.7,35.1,15.3,23.9,0.639
2016-17,1610612766,CHA,Charlotte Hornets,82,36,46,241.8,7,4.8,34.8,13.9,21.9,0.636
2016-17,1610612741,CHI,Chicago Bulls,82,41,41,241.2,7.8,4.8,34.1,16,26,0.617
2016-17,1610612739,CLE,Cleveland Cavaliers,82,51,31,242.4,6.6,4,34.4,15.7,24.9,0.631
2016-17,1610612742,DAL,Dallas Mavericks,81,32,49,241.2,7.4,3.7,30.8,13.9,20.7,0.67
2016-17,1610612743,DEN,Denver Nuggets,81,39,42,240.9,6.9,3.9,34.6,15.5,24,0.645
2016-17,1610612765,DET,Detroit Pistons,82,37,45,241.5,7,3.8,34.6,12.8,20.6,0.622
2016-17,1610612744,GSW,Golden State Warriors,82,67,15,241.2,9.6,6.8,35,16.2,26.7,0.607
2016-17,1610612745,HOU,Houston Rockets,82,55,27,241.2,8.2,4.3,33.5,18,26.6,0.678
2016-17,1610612754,IND,Indiana Pacers,81,42,39,242.2,8.1,5,33.1,13.6,22,0.617
2016-17,1610612746,LAC,LA Clippers,82,51,31,240.9,7.5,4.2,34,14.3,21.4,0.667
2016-17,1610612747,LAL,Los Angeles Lakers,82,26,56,240.3,8.2,3.9,32.1,16.7,24.7,0.677
2016-17,1610612763,MEM,Memphis Grizzlies,82,43,39,242.7,8,4.2,32,12.8,20.7,0.619
2016-17,1610612748,MIA,Miami Heat,82,41,41,241.2,7.2,5.7,33,14.4,24.3,0.59
2016-17,1610612749,MIL,Milwaukee Bucks,82,42,40,241.2,8.1,5.3,31.6,15.4,24.6,0.628
2016-17,1610612750,MIN,Minnesota Timberwolves,82,31,51,241.5,8,4.5,31,16.6,25.4,0.655
2016-17,1610612740,NOP,New Orleans Pelicans,82,34,48,242.7,7.8,5.5,35.1,16,24.5,0.653
2016-17,1610612752,NYK,New York Knicks,82,31,51,242.1,7.1,5.5,33.2,16.5,26.7,0.617
2016-17,1610612760,OKC,Oklahoma City Thunder,82,47,35,241.5,7.9,5,34.4,16,26.2,0.612
2016-17,1610612753,ORL,Orlando Magic,82,29,53,241.5,7.1,4.8,33.3,16,25,0.641
2016-17,1610612755,PHI,Philadelphia 76ers,82,28,54,241.8,8.4,5.1,33,15.9,25.5,0.621
2016-17,1610612756,PHX,Phoenix Suns,80,23,57,241.9,8.3,4.9,33.1,15.3,24.6,0.622
2016-17,1610612757,POR,Portland Trail Blazers,82,41,41,243.1,7,5,33.5,13.2,22.7,0.581
2016-17,1610612758,SAC,Sacramento Kings,82,32,50,242.4,7.6,4,32.3,14.4,22.3,0.645
2016-17,1610612759,SAS,San Antonio Spurs,81,61,20,241.5,8,6,34,13.6,23.1,0.59
2016-17,1610612761,TOR,Toronto Raptors,81,50,31,241.2,8.2,4.8,32.6,14.5,23.3,0.622
2016-17,1610612762,UTA,Utah Jazz,82,51,31,240.9,6.7,5,33.8,13.4,23.1,0.581
2016-17,1610612764,WAS,Washington Wizards,82,49,33,242.1,8.5,4.1,32.6,15.5,24.3,0.636
2015-16,1610612737,ATL,Atlanta Hawks,82,48,34,241.8,9.1,5.9,33.8,14.1,24,0.59
2015-16,1610612738,BOS,Boston Celtics,81,47,34,241.2,9.1,4.2,33.3,14.2,22.7,0.623
2015-16,1610612751,BKN,Brooklyn Nets,82,21,61,240.9,7.6,4,31.9,17.5,27,0.647
2015-16,1610612766,CHA,Charlotte Hornets,82,48,34,242.1,7.3,5.3,35,13.4,21.7,0.618
2015-16,1610612741,CHI,Chicago Bulls,82,42,40,242.7,6,5.7,35.2,15.3,25.6,0.599
2015-16,1610612739,CLE,Cleveland Cavaliers,82,57,25,242.1,6.7,3.9,33.9,13.6,22.1,0.617
2015-16,1610612742,DAL,Dallas Mavericks,82,42,40,244,6.8,3.7,33.9,14.1,22.5,0.628
2015-16,1610612743,DEN,Denver Nuggets,82,33,49,241.8,7.4,4.8,33.1,14.9,23.7,0.626
2015-16,1610612765,DET,Detroit Pistons,82,44,38,242.4,7,3.7,33.9,14.5,23,0.631
2015-16,1610612744,GSW,Golden State Warriors,82,73,9,242.4,8.4,6.1,36.2,15.1,25,0.605
2015-16,1610612745,HOU,Houston Rockets,82,41,41,241.8,10,5.2,31.7,16.2,25.1,0.644
2015-16,1610612754,IND,Indiana Pacers,82,45,37,242.4,9,4.8,33.9,14.7,24,0.613
2015-16,1610612746,LAC,LA Clippers,82,53,29,241.8,8.6,5.6,33.3,13.6,22.5,0.607
